1|George||Washington|1789-1797|Independent|Washington distilled rye whiskey, apple brandy and peach brandy in his Mount Vernon home|img/big/01.jpeg|img/thumb/01.jpeg
2|John||Adams|1797-1801|Federalist|Adams and Thomas Jefferson were close friends and correspondents — but they also had a bit of a rivalry. Adams' dying words were, Thomas Jefferson survives, unaware that he had died hours earlier. In another shocker, both died on July 4, 1826|img/big/02.jpeg|img/thumb/02.jpeg
3|Thomas||Jefferson|1801-1809|Democratic-Republican|Jefferson and John Adams paid a visit to William Shakespeare's home in Stratford-upon-Avon in 1786. There, they chipped off a piece from Shakespeare's chair as a souvenir.|img/big/03.jpeg|img/thumb/03.jpeg
4|James||Madison|1809-1817|Democratic-Republican|James Madison was Princeton University's first graduate student|img/big/04.jpeg|img/thumb/04.jpeg
5|James||Monroe|1817-1825|Democratic-Republican|Monrovia, the capital of the Liberia, is named after James Monroe. He supported the American Colonization Society in its work to create a home for freed slaves in Liberia.|img/big/05.jpeg|img/thumb/05.jpeg
6|John|Quincy|Adams|1825-1829|Democratic-Republican|During his presidency, John Quincy Adams enjoyed skinny-dipping in the Potomac River in the early mornings.|img/big/06.jpeg|img/thumb/06.jpeg
7|Andrew||Jackson|1829-1837|Democrat|Jackson was involved in as many as 100 duels, most of which were fought to defend the honor of his wife, Rachel. He was shot in the chest in a duel in 1806 and took a bullet in the arm in a bar fight with Missouri Sen. Thomas Hart Benton in 1813.|img/big/07.jpeg|img/thumb/07.jpeg
8|Martin||Van Buren|1837-1841|Democrat|Van Buren's nickname was Old Kinderhook because he was raised in Kinderhook, N.Y. A popular theory states that the term O.K. is derived from the O.K. clubs that sprung up to support his campaign.|img/big/08.jpeg|img/thumb/08.jpeg
9|William|Henry|Harrison|1841-1841|Whig|Democrats ran a smear campaign during Harrison's campaign that tried to cast him as an out-of-touch old fogey who would rather sit in his log cabin, drinking hard cider than run the country. Harrison one-upped the haters by adopting the log cabin and hard cider as campaign symbols. He even commissioned bottles of hard cider shaped like log cabins.|img/big/09.jpeg|img/thumb/09.jpeg
10|John||Tyler|1841-1845|Whig|John Tyler had 15 children, more than any other president. Two of his grandsons are still alive today. One of Tyler's children, Lyon Gardiner Tyler, born in 1853, fathered Lyon Gardiner Tyler Jr. in 1924 and Harrison Ruffin Tyler in 1928.|img/big/10.jpeg|img/thumb/10.jpeg
11|James|Knox|Polk|1845-1849|Democrat|Here's one for the underdogs. James Polk, nicknamed Young Hickory, was America's first dark horse presidential candidate. He was considered a Plan B after the more likely choice, Martin Van Buren, failed to secure the party's nomination.|img/big/11.jpeg|img/thumb/11.jpeg
